title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images,administration,bodega,cocina,conservation_state,construction_age,construction_year,deposit,elevator,finish_quality,floor,interior_exterior,location_quality,loft,mezanine,price_per_m2,property_code,study_room,terrace_area,walking_closet
"Apartamento en venta en cedritos, bogotá",$ 760.000.000,,137 m²,5,4.0,,,Apartamento,VENTA,Balcón; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193126797,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69220b637294c_infocdn__iiaqfymni2iblt7hbqwrlqacmgcqu1biczzi1bfqjpg.jpg,,False,True,4,13,,True,False,4,,,5,False,False,5547445.26,193126797,True,,False
,$ 760.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedritos, bogotá",$ 680.000.000,,86 m²,3,2.0,,,Apartamento,VENTA,Ascensor,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193124127,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6920be5c10703_infocdn__jrxb4ea3rucsl21k5k0mhbkem3qfzu37dx1khimrjpg.jpg,,False,False,4,4,,True,True,4,,,5,False,False,7906976.74,193124127,False,,False
"Apartamento en venta en cedritos, bogotá",$ 680.000.000,,86 m²,3,2.0,,,Apartamento,VENTA,Ascensor,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/193124127,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6920be5c10703_infocdn__jrxb4ea3rucsl21k5k0mhbkem3qfzu37dx1khimrjpg.jpg,,False,False,4,4,,True,True,4,,,5,False,False,7906976.74,193124127,False,,False
,$ 680.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en lisboa usaquén, bogotá",$ 766.000.000,,85 m²,2,2.0,2,,Apartamento,VENTA,Balcón; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-lisboa-usaquen-bogota/193125303,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69212af819222_infocdn__dkxrosfviwakyuo7rsscweap4p8axgmwpogquahqjpg.jpg,765.0,False,True,4,,,True,False,4,2,E,5,False,False,9011764.71,193125303,True,,False
"Apartamento en venta en lisboa usaquén, bogotá",$ 766.000.000,,85 m²,2,2.0,2,,Apartamento,VENTA,Balcón; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-lisboa-usaquen-bogota/193125303,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69212af819222_infocdn__dkxrosfviwakyuo7rsscweap4p8axgmwpogquahqjpg.jpg,765.0,False,True,4,,,True,False,4,2,E,5,False,False,9011764.71,193125303,True,,False
,$ 766.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedro narvaez, bogotá",$ 362.975.318,,1 m²,,1.0,1,,Apartamento,VENTA,Ascensor,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedro-narvaez-bogota/193132438,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6925290650f27_infocdn__rysdg4isvzp2unfkprn3jbvuk9hbpnqq8ajn6dswpng.png,,False,True,4,15,,False,True,4,,I,5,False,False,362975318.0,193132438,False,,False
"Apartamento en venta en cedro narvaez, bogotá",$ 362.975.318,,1 m²,,1.0,1,,Apartamento,VENTA,Ascensor,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedro-narvaez-bogota/193132438,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6925290650f27_infocdn__rysdg4isvzp2unfkprn3jbvuk9hbpnqq8ajn6dswpng.png,,False,True,4,15,,False,True,4,,I,5,False,False,362975318.0,193132438,False,,False
